Movie_Name,Profit
"Golden Boys",flop
"Kaccha Limboo",flop
"Not A Love Story",flop
"Qaidi Band",flop
Chaatwali,75000
"Shuttlecock Boys",flop
"Dirty Marriage",flop
"Future To Bright Hai Ji",flop
Ghajini,1425820000
"Taare Zameen Par",695785000
"Mangal Pandey - The Rising",155785000
Fanaa,754800000
"Rang De Basanti",699080000
Talaash,1019717500
"Pyaar Mein Aisa Hota Hai",flop
"Gurjar Aandolan - A Fight For Right",flop
"Yehi Hai High Society",flop
"Say Yes To Love",flop
"Dreams - Sapnay Sach Honge...",flop
"Three - Love Lies Betrayal",flop
"Malegaon Me Gadbad Ghotala",flop
"Khota Sikka - Jaat Ke Thaath",flop
"Hi Fi Log",flop
"Dev D",98200000
"One By Two",flop
"Oye Lucky! Lucky Oye!",flop
"Socha Na Tha",2800000
"Happy Bhaag Jayegi",191500000
"Manorama Six Feet Under",flop
"Honeymoon Travels Pvt. Ltd.",95160000
"Ek Chalis Ki Last Local",flop
"Ahista Ahista",flop
Lottery,flop
"Roar - Tigers Of The Sundarbans",flop
Chakradhaar,flop
Players,flop
Game,flop
"Khelein Hum Jee Jaan Sey",flop
Drona,flop
Guru,616710000
Raavan,flop
"Delhi 6",41750000
Bluffmaster,227100000
"Dum Maaro Dum",201940000
"Bunty Aur Babli",512405000
"Jhoom Barabar Jhoom",215250000
Dostana,471517500
"All Is Well",flop
"Apne Ghayal Indian",flop
"Naya Pata",flop
"A Journey Of Samyak Buddha",flop
"Hum Hai Raahi Car Ke",flop
"Strings - Bound By Faith",flop
Contract,flop
"Haal - E - Dil",flop
"Dehraadun Diary",flop
Jashnn,flop
Heartless,flop
"Zed Plus",flop
"For Real",flop
"Lessons In Forgetting",flop
Poorna,flop
"Khanna & Iyer",flop
Shaapit,14300000
Bandook,flop
Fitoor,flop
"Daawat E Ishq",21300000
"Aashiqui 2",943800000
"Ok Jaanu",105020000
"Yeh Jo Mohabbat Hai",flop
"Dil Se Poochh... Kidhar Jaana Hai",flop
"Ek Aur Murder",flop
"Feel - The Touch",flop
"1920 - Evil Returns",190400000
"Bin Bulaye Baraati",flop
"Jaane Hoga Kya",flop
