Movie_Name,Loss
"Golden Boys",4915000
"Kaccha Limboo",14175000
"Not A Love Story",18300000
"Qaidi Band",205500000
Chaatwali,Hit
"Shuttlecock Boys",4830000
"Dirty Marriage",1465000
"Future To Bright Hai Ji",14175000
Ghajini,Hit
"Taare Zameen Par",Hit
"Mangal Pandey - The Rising",Hit
Fanaa,Hit
"Rang De Basanti",Hit
Talaash,Hit
"Pyaar Mein Aisa Hota Hai",5150000
"Gurjar Aandolan - A Fight For Right",5925000
"Yehi Hai High Society",2500000
"Say Yes To Love",16975000
"Dreams - Sapnay Sach Honge...",11125000
"Three - Love Lies Betrayal",30000000
"Malegaon Me Gadbad Ghotala",700000
"Khota Sikka - Jaat Ke Thaath",8400000
"Hi Fi Log",1000000
"Dev D",Hit
"One By Two",172300000
"Oye Lucky! Lucky Oye!",19380000
"Socha Na Tha",Hit
"Happy Bhaag Jayegi",Hit
"Manorama Six Feet Under",26700000
"Honeymoon Travels Pvt. Ltd.",Hit
"Ek Chalis Ki Last Local",10000000
"Ahista Ahista",16900000
Lottery,17075000
"Roar - Tigers Of The Sundarbans",115387500
Chakradhaar,38700000
Players,64400000
Game,211207500
"Khelein Hum Jee Jaan Sey",313346250
Drona,249340000
Guru,Hit
Raavan,54277500
"Delhi 6",Hit
Bluffmaster,Hit
"Dum Maaro Dum",Hit
"Bunty Aur Babli",Hit
"Jhoom Barabar Jhoom",Hit
Dostana,Hit
"All Is Well",109680000
"Apne Ghayal Indian",860000
"Naya Pata",984000
"A Journey Of Samyak Buddha",1650000
"Hum Hai Raahi Car Ke",41800000
"Strings - Bound By Faith",8927500
Contract,38600000
"Haal - E - Dil",52800000
"Dehraadun Diary",39100000
Jashnn,33600000
Heartless,98200000
"Zed Plus",47300000
"For Real",8875000
"Lessons In Forgetting",59940000
Poorna,400000
"Khanna & Iyer",20525000
Shaapit,Hit
Bandook,42900000
Fitoor,312175000
"Daawat E Ishq",Hit
"Aashiqui 2",Hit
"Ok Jaanu",Hit
"Yeh Jo Mohabbat Hai",77065312
"Dil Se Poochh... Kidhar Jaana Hai",14790000
"Ek Aur Murder",950000
"Feel - The Touch",1025000
"1920 - Evil Returns",Hit
